,year,name,constructor_name,points,era
31,1962,Monaco Grand Prix,ferrari,10.0,1962 - 1990
29,1962,Monaco Grand Prix,cooper-climax,9.0,1962 - 1990
32,1962,Monaco Grand Prix,lola,3.0,1962 - 1990
35,1962,Monaco Grand Prix,porsche,2.0,1962 - 1990
28,1962,Monaco Grand Prix,brm,1.0,1962 - 1990
30,1962,Monaco Grand Prix,de_tomaso-alfa_romeo,0.0,1962 - 1990
33,1962,Monaco Grand Prix,lotus-brm,0.0,1962 - 1990
34,1962,Monaco Grand Prix,lotus-climax,0.0,1962 - 1990
16,1962,Italian Grand Prix,brm,15.0,1962 - 1990
20,1962,Italian Grand Prix,ferrari,5.0,1962 - 1990
17,1962,Italian Grand Prix,cooper-climax,4.0,1962 - 1990
26,1962,Italian Grand Prix,porsche,1.0,1962 - 1990
18,1962,Italian Grand Prix,de_tomaso-osca,0.0,1962 - 1990
19,1962,Italian Grand Prix,emeryson,0.0,1962 - 1990
21,1962,Italian Grand Prix,gilby,0.0,1962 - 1990
22,1962,Italian Grand Prix,lola,0.0,1962 - 1990
23,1962,Italian Grand Prix,lotus-borgward,0.0,1962 - 1990
24,1962,Italian Grand Prix,lotus-brm,0.0,1962 - 1990
25,1962,Italian Grand Prix,lotus-climax,0.0,1962 - 1990
27,1962,Italian Grand Prix,tomaso,0.0,1962 - 1990
14,1962,British Grand Prix,lotus-climax,11.0,1962 - 1990
12,1962,British Grand Prix,lola,6.0,1962 - 1990
8,1962,British Grand Prix,cooper-climax,5.0,1962 - 1990
7,1962,British Grand Prix,brm,3.0,1962 - 1990
9,1962,British Grand Prix,emeryson,0.0,1962 - 1990
10,1962,British Grand Prix,ferrari,0.0,1962 - 1990
11,1962,British Grand Prix,gilby,0.0,1962 - 1990
13,1962,British Grand Prix,lotus-brm,0.0,1962 - 1990
15,1962,British Grand Prix,porsche,0.0,1962 - 1990
5,1962,Belgian Grand Prix,lotus-climax,10.0,1962 - 1990
2,1962,Belgian Grand Prix,ferrari,7.0,1962 - 1990
0,1962,Belgian Grand Prix,brm,6.0,1962 - 1990
3,1962,Belgian Grand Prix,lola,2.0,1962 - 1990
1,1962,Belgian Grand Prix,cooper-climax,0.0,1962 - 1990
4,1962,Belgian Grand Prix,lotus-brm,0.0,1962 - 1990
6,1962,Belgian Grand Prix,porsche,0.0,1962 - 1990
77,1963,Monaco Grand Prix,brm,15.0,1962 - 1990
78,1963,Monaco Grand Prix,cooper-climax,6.0,1962 - 1990
79,1963,Monaco Grand Prix,ferrari,3.0,1962 - 1990
82,1963,Monaco Grand Prix,lotus-climax,1.0,1962 - 1990
75,1963,Monaco Grand Prix,ats,0.0,1962 - 1990
76,1963,Monaco Grand Prix,brabham,0.0,1962 - 1990
80,1963,Monaco Grand Prix,lola,0.0,1962 - 1990
81,1963,Monaco Grand Prix,lotus-brm,0.0,1962 - 1990
83,1963,Monaco Grand Prix,porsche,0.0,1962 - 1990
84,1963,Monaco Grand Prix,scirocco,0.0,1962 - 1990
85,1963,Monaco Grand Prix,tomaso,0.0,1962 - 1990
71,1963,Italian Grand Prix,lotus-climax,9.0,1962 - 1990
62,1963,Italian Grand Prix,brm,6.0,1962 - 1990
64,1963,Italian Grand Prix,cooper-climax,5.0,1962 - 1990
63,1963,Italian Grand Prix,brp,3.0,1962 - 1990
61,1963,Italian Grand Prix,brabham,2.0,1962 - 1990
60,1963,Italian Grand Prix,ats,0.0,1962 - 1990
65,1963,Italian Grand Prix,cooper-maserati,0.0,1962 - 1990
66,1963,Italian Grand Prix,de_tomaso-ferrari,0.0,1962 - 1990
67,1963,Italian Grand Prix,ferrari,0.0,1962 - 1990
68,1963,Italian Grand Prix,gilby,0.0,1962 - 1990
69,1963,Italian Grand Prix,lola,0.0,1962 - 1990
70,1963,Italian Grand Prix,lotus-brm,0.0,1962 - 1990
72,1963,Italian Grand Prix,lotus-maserati,0.0,1962 - 1990
73,1963,Italian Grand Prix,porsche,0.0,1962 - 1990
74,1963,Italian Grand Prix,scirocco,0.0,1962 - 1990
49,1963,British Grand Prix,brm,9.0,1962 - 1990
56,1963,British Grand Prix,lotus-climax,9.0,1962 - 1990
52,1963,British Grand Prix,ferrari,6.0,1962 - 1990
55,1963,British Grand Prix,lotus-brm,1.0,1962 - 1990
47,1963,British Grand Prix,ats,0.0,1962 - 1990
48,1963,British Grand Prix,brabham,0.0,1962 - 1990
50,1963,British Grand Prix,brp,0.0,1962 - 1990
51,1963,British Grand Prix,cooper-climax,0.0,1962 - 1990
53,1963,British Grand Prix,gilby,0.0,1962 - 1990
54,1963,British Grand Prix,lola,0.0,1962 - 1990
57,1963,British Grand Prix,porsche,0.0,1962 - 1990
58,1963,British Grand Prix,scirocco,0.0,1962 - 1990
59,1963,British Grand Prix,tomaso,0.0,1962 - 1990
44,1963,Belgian Grand Prix,lotus-climax,9.0,1962 - 1990
40,1963,Belgian Grand Prix,cooper-climax,8.0,1962 - 1990
37,1963,Belgian Grand Prix,brabham,4.0,1962 - 1990
38,1963,Belgian Grand Prix,brm,3.0,1962 - 1990
45,1963,Belgian Grand Prix,porsche,1.0,1962 - 1990
36,1963,Belgian Grand Prix,ats,0.0,1962 - 1990
39,1963,Belgian Grand Prix,brp,0.0,1962 - 1990
41,1963,Belgian Grand Prix,ferrari,0.0,1962 - 1990
42,1963,Belgian Grand Prix,lola,0.0,1962 - 1990
43,1963,Belgian Grand Prix,lotus-brm,0.0,1962 - 1990
46,1963,Belgian Grand Prix,scirocco,0.0,1962 - 1990
114,1964,Monaco Grand Prix,brm,15.0,1962 - 1990
119,1964,Monaco Grand Prix,lotus-climax,7.0,1962 - 1990
116,1964,Monaco Grand Prix,cooper-climax,2.0,1962 - 1990
118,1964,Monaco Grand Prix,lotus-brm,1.0,1962 - 1990
113,1964,Monaco Grand Prix,brabham-climax,0.0,1962 - 1990
115,1964,Monaco Grand Prix,brp,0.0,1962 - 1990
117,1964,Monaco Grand Prix,ferrari,0.0,1962 - 1990
120,1964,Monaco Grand Prix,scirocco,0.0,1962 - 1990
109,1964,Italian Grand Prix,ferrari,13.0,1962 - 1990
107,1964,Italian Grand Prix,cooper-climax,6.0,1962 - 1990
105,1964,Italian Grand Prix,brm,3.0,1962 - 1990
106,1964,Italian Grand Prix,brp,2.0,1962 - 1990
112,1964,Italian Grand Prix,lotus-climax,1.0,1962 - 1990
103,1964,Italian Grand Prix,brabham-brm,0.0,1962 - 1990
104,1964,Italian Grand Prix,brabham-climax,0.0,1962 - 1990
108,1964,Italian Grand Prix,derrington,0.0,1962 - 1990
110,1964,Italian Grand Prix,honda,0.0,1962 - 1990
111,1964,Italian Grand Prix,lotus-brm,0.0,1962 - 1990
102,1964,British Grand Prix,lotus-climax,9.0,1962 - 1990
97,1964,British Grand Prix,brm,6.0,1962 - 1990
100,1964,British Grand Prix,ferrari,6.0,1962 - 1990
95,1964,British Grand Prix,brabham-climax,3.0,1962 - 1990
99,1964,British Grand Prix,cooper-climax,1.0,1962 - 1990
94,1964,British Grand Prix,brabham-brm,0.0,1962 - 1990
96,1964,British Grand Prix,brabham-ford,0.0,1962 - 1990
98,1964,British Grand Prix,brp,0.0,1962 - 1990
101,1964,British Grand Prix,lotus-brm,0.0,1962 - 1990
92,1964,Belgian Grand Prix,lotus-climax,9.0,1962 - 1990
89,1964,Belgian Grand Prix,cooper-climax,6.0,1962 - 1990
86,1964,Belgian Grand Prix,brabham-climax,5.0,1962 - 1990
87,1964,Belgian Grand Prix,brm,5.0,1962 - 1990
88,1964,Belgian Grand Prix,brp,0.0,1962 - 1990
90,1964,Belgian Grand Prix,ferrari,0.0,1962 - 1990
91,1964,Belgian Grand Prix,lotus-brm,0.0,1962 - 1990
93,1964,Belgian Grand Prix,scirocco,0.0,1962 - 1990
148,1965,Monaco Grand Prix,brm,13.0,1962 - 1990
150,1965,Monaco Grand Prix,ferrari,9.0,1962 - 1990
149,1965,Monaco Grand Prix,cooper-climax,2.0,1962 - 1990
146,1965,Monaco Grand Prix,brabham-brm,1.0,1962 - 1990
147,1965,Monaco Grand Prix,brabham-climax,0.0,1962 - 1990
151,1965,Monaco Grand Prix,honda,0.0,1962 - 1990
152,1965,Monaco Grand Prix,lotus-brm,0.0,1962 - 1990
153,1965,Monaco Grand Prix,lotus-climax,0.0,1962 - 1990
140,1965,Italian Grand Prix,brm,15.0,1962 - 1990
139,1965,Italian Grand Prix,brabham-climax,4.0,1962 - 1990
142,1965,Italian Grand Prix,ferrari,3.0,1962 - 1990
141,1965,Italian Grand Prix,cooper-climax,2.0,1962 - 1990
144,1965,Italian Grand Prix,lotus-brm,1.0,1962 - 1990
138,1965,Italian Grand Prix,brabham-brm,0.0,1962 - 1990
143,1965,Italian Grand Prix,honda,0.0,1962 - 1990
145,1965,Italian Grand Prix,lotus-climax,0.0,1962 - 1990
137,1965,British Grand Prix,lotus-climax,12.0,1962 - 1990
131,1965,British Grand Prix,brm,8.0,1962 - 1990
134,1965,British Grand Prix,ferrari,4.0,1962 - 1990
130,1965,British Grand Prix,brabham-climax,1.0,1962 - 1990
129,1965,British Grand Prix,brabham-brm,0.0,1962 - 1990
132,1965,British Grand Prix,cooper-climax,0.0,1962 - 1990
133,1965,British Grand Prix,cooper-ford,0.0,1962 - 1990
135,1965,British Grand Prix,honda,0.0,1962 - 1990
136,1965,British Grand Prix,lotus-brm,0.0,1962 - 1990
128,1965,Belgian Grand Prix,lotus-climax,9.0,1962 - 1990
123,1965,Belgian Grand Prix,brm,8.0,1962 - 1990
124,1965,Belgian Grand Prix,cooper-climax,4.0,1962 - 1990
122,1965,Belgian Grand Prix,brabham-climax,3.0,1962 - 1990
126,1965,Belgian Grand Prix,honda,1.0,1962 - 1990
121,1965,Belgian Grand Prix,brabham-brm,0.0,1962 - 1990
125,1965,Belgian Grand Prix,ferrari,0.0,1962 - 1990
127,1965,Belgian Grand Prix,lotus-brm,0.0,1962 - 1990
188,1966,Monaco Grand Prix,brm,16.0,1962 - 1990
190,1966,Monaco Grand Prix,ferrari,6.0,1962 - 1990
185,1966,Monaco Grand Prix,brabham-brm,0.0,1962 - 1990
186,1966,Monaco Grand Prix,brabham-climax,0.0,1962 - 1990
187,1966,Monaco Grand Prix,brabham-repco,0.0,1962 - 1990
189,1966,Monaco Grand Prix,cooper-maserati,0.0,1962 - 1990
191,1966,Monaco Grand Prix,lotus-brm,0.0,1962 - 1990
192,1966,Monaco Grand Prix,lotus-climax,0.0,1962 - 1990
193,1966,Monaco Grand Prix,mclaren-ford,0.0,1962 - 1990
181,1966,Italian Grand Prix,ferrari,15.0,1962 - 1990
176,1966,Italian Grand Prix,brabham-repco,4.0,1962 - 1990
178,1966,Italian Grand Prix,cooper-maserati,3.0,1962 - 1990
183,1966,Italian Grand Prix,lotus-brm,2.0,1962 - 1990
175,1966,Italian Grand Prix,brabham-climax,1.0,1962 - 1990
174,1966,Italian Grand Prix,brabham-brm,0.0,1962 - 1990
177,1966,Italian Grand Prix,brm,0.0,1962 - 1990
179,1966,Italian Grand Prix,eagle-climax,0.0,1962 - 1990
180,1966,Italian Grand Prix,eagle-weslake,0.0,1962 - 1990
182,1966,Italian Grand Prix,honda,0.0,1962 - 1990
184,1966,Italian Grand Prix,lotus-climax,0.0,1962 - 1990
165,1966,British Grand Prix,brabham-repco,15.0,1962 - 1990
166,1966,British Grand Prix,brm,4.0,1962 - 1990
171,1966,British Grand Prix,lotus-climax,3.0,1962 - 1990
168,1966,British Grand Prix,cooper-maserati,2.0,1962 - 1990
172,1966,British Grand Prix,mclaren-seren,1.0,1962 - 1990
163,1966,British Grand Prix,brabham-brm,0.0,1962 - 1990
164,1966,British Grand Prix,brabham-climax,0.0,1962 - 1990
167,1966,British Grand Prix,cooper-ferrari,0.0,1962 - 1990
169,1966,British Grand Prix,eagle-climax,0.0,1962 - 1990
170,1966,British Grand Prix,lotus-brm,0.0,1962 - 1990
173,1966,British Grand Prix,shannon,0.0,1962 - 1990
159,1966,Belgian Grand Prix,ferrari,13.0,1962 - 1990
157,1966,Belgian Grand Prix,cooper-maserati,8.0,1962 - 1990
155,1966,Belgian Grand Prix,brabham-repco,3.0,1962 - 1990
154,1966,Belgian Grand Prix,brabham-climax,0.0,1962 - 1990
156,1966,Belgian Grand Prix,brm,0.0,1962 - 1990
158,1966,Belgian Grand Prix,eagle-climax,0.0,1962 - 1990
160,1966,Belgian Grand Prix,lotus-brm,0.0,1962 - 1990
161,1966,Belgian Grand Prix,lotus-climax,0.0,1962 - 1990
162,1966,Belgian Grand Prix,mclaren-seren,0.0,1962 - 1990
220,1967,Monaco Grand Prix,brabham-repco,9.0,1962 - 1990
227,1967,Monaco Grand Prix,lotus-brm,6.0,1962 - 1990
225,1967,Monaco Grand Prix,ferrari,4.0,1962 - 1990
230,1967,Monaco Grand Prix,mclaren-brm,3.0,1962 - 1990
222,1967,Monaco Grand Prix,cooper-maserati,2.0,1962 - 1990
221,1967,Monaco Grand Prix,brm,1.0,1962 - 1990
219,1967,Monaco Grand Prix,brabham-climax,0.0,1962 - 1990
223,1967,Monaco Grand Prix,eagle-climax,0.0,1962 - 1990
224,1967,Monaco Grand Prix,eagle-weslake,0.0,1962 - 1990
226,1967,Monaco Grand Prix,honda,0.0,1962 - 1990
228,1967,Monaco Grand Prix,lotus-climax,0.0,1962 - 1990
229,1967,Monaco Grand Prix,matra,0.0,1962 - 1990
216,1967,Italian Grand Prix,honda,9.0,1962 - 1990
211,1967,Italian Grand Prix,brabham-repco,6.0,1962 - 1990
213,1967,Italian Grand Prix,cooper-maserati,4.0,1962 - 1990
217,1967,Italian Grand Prix,lotus-ford,4.0,1962 - 1990
212,1967,Italian Grand Prix,brm,2.0,1962 - 1990
214,1967,Italian Grand Prix,eagle-weslake,0.0,1962 - 1990
215,1967,Italian Grand Prix,ferrari,0.0,1962 - 1990
218,1967,Italian Grand Prix,mclaren-brm,0.0,1962 - 1990
203,1967,British Grand Prix,brabham-repco,9.0,1962 - 1990
210,1967,British Grand Prix,lotus-ford,9.0,1962 - 1990
208,1967,British Grand Prix,ferrari,4.0,1962 - 1990
206,1967,British Grand Prix,cooper-maserati,2.0,1962 - 1990
209,1967,British Grand Prix,honda,1.0,1962 - 1990
202,1967,British Grand Prix,brabham-climax,0.0,1962 - 1990
204,1967,British Grand Prix,brm,0.0,1962 - 1990
205,1967,British Grand Prix,cooper-ats,0.0,1962 - 1990
207,1967,British Grand Prix,eagle-weslake,0.0,1962 - 1990
198,1967,Belgian Grand Prix,eagle-weslake,9.0,1962 - 1990
196,1967,Belgian Grand Prix,brm,8.0,1962 - 1990
199,1967,Belgian Grand Prix,ferrari,4.0,1962 - 1990
197,1967,Belgian Grand Prix,cooper-maserati,3.0,1962 - 1990
201,1967,Belgian Grand Prix,lotus-ford,1.0,1962 - 1990
194,1967,Belgian Grand Prix,brabham-climax,0.0,1962 - 1990
195,1967,Belgian Grand Prix,brabham-repco,0.0,1962 - 1990
200,1967,Belgian Grand Prix,honda,0.0,1962 - 1990
268,1968,Monaco Grand Prix,lotus-ford,9.0,1962 - 1990
265,1968,Monaco Grand Prix,cooper-brm,7.0,1962 - 1990
264,1968,Monaco Grand Prix,brm,6.0,1962 - 1990
272,1968,Monaco Grand Prix,mclaren-ford,2.0,1962 - 1990
263,1968,Monaco Grand Prix,brabham-repco,0.0,1962 - 1990
266,1968,Monaco Grand Prix,eagle-weslake,0.0,1962 - 1990
267,1968,Monaco Grand Prix,honda,0.0,1962 - 1990
269,1968,Monaco Grand Prix,matra,0.0,1962 - 1990
270,1968,Monaco Grand Prix,matra-ford,0.0,1962 - 1990
271,1968,Monaco Grand Prix,mclaren-brm,0.0,1962 - 1990
262,1968,Italian Grand Prix,mclaren-ford,9.0,1962 - 1990
260,1968,Italian Grand Prix,matra-ford,6.0,1962 - 1990
256,1968,Italian Grand Prix,ferrari,4.0,1962 - 1990
253,1968,Italian Grand Prix,brm,3.0,1962 - 1990
259,1968,Italian Grand Prix,matra,2.0,1962 - 1990
261,1968,Italian Grand Prix,mclaren-brm,1.0,1962 - 1990
252,1968,Italian Grand Prix,brabham-repco,0.0,1962 - 1990
254,1968,Italian Grand Prix,cooper-brm,0.0,1962 - 1990
255,1968,Italian Grand Prix,eagle-weslake,0.0,1962 - 1990
257,1968,Italian Grand Prix,honda,0.0,1962 - 1990
258,1968,Italian Grand Prix,lotus-ford,0.0,1962 - 1990
245,1968,British Grand Prix,ferrari,10.0,1962 - 1990
247,1968,British Grand Prix,lotus-ford,9.0,1962 - 1990
251,1968,British Grand Prix,mclaren-ford,3.0,1962 - 1990
246,1968,British Grand Prix,honda,2.0,1962 - 1990
249,1968,British Grand Prix,matra-ford,1.0,1962 - 1990
241,1968,British Grand Prix,brabham-repco,0.0,1962 - 1990
242,1968,British Grand Prix,brm,0.0,1962 - 1990
243,1968,British Grand Prix,cooper-brm,0.0,1962 - 1990
244,1968,British Grand Prix,eagle-weslake,0.0,1962 - 1990
248,1968,British Grand Prix,matra,0.0,1962 - 1990
250,1968,British Grand Prix,mclaren-brm,0.0,1962 - 1990
240,1968,Belgian Grand Prix,mclaren-ford,9.0,1962 - 1990
232,1968,Belgian Grand Prix,brm,6.0,1962 - 1990
234,1968,Belgian Grand Prix,ferrari,4.0,1962 - 1990
238,1968,Belgian Grand Prix,matra-ford,3.0,1962 - 1990
236,1968,Belgian Grand Prix,lotus-ford,2.0,1962 - 1990
233,1968,Belgian Grand Prix,cooper-brm,1.0,1962 - 1990
231,1968,Belgian Grand Prix,brabham-repco,0.0,1962 - 1990
235,1968,Belgian Grand Prix,honda,0.0,1962 - 1990
237,1968,Belgian Grand Prix,matra,0.0,1962 - 1990
239,1968,Belgian Grand Prix,mclaren-brm,0.0,1962 - 1990
289,1969,Monaco Grand Prix,lotus-ford,16.0,1962 - 1990
285,1969,Monaco Grand Prix,brabham-ford,6.0,1962 - 1990
291,1969,Monaco Grand Prix,mclaren-ford,3.0,1962 - 1990
286,1969,Monaco Grand Prix,brm,0.0,1962 - 1990
287,1969,Monaco Grand Prix,cooper-maserati,0.0,1962 - 1990
288,1969,Monaco Grand Prix,ferrari,0.0,1962 - 1990
290,1969,Monaco Grand Prix,matra-ford,0.0,1962 - 1990
283,1969,Italian Grand Prix,matra-ford,13.0,1962 - 1990
282,1969,Italian Grand Prix,lotus-ford,6.0,1962 - 1990
284,1969,Italian Grand Prix,mclaren-ford,3.0,1962 - 1990
279,1969,Italian Grand Prix,brabham-ford,2.0,1962 - 1990
281,1969,Italian Grand Prix,ferrari,1.0,1962 - 1990
280,1969,Italian Grand Prix,brm,0.0,1962 - 1990
277,1969,British Grand Prix,matra-ford,9.0,1962 - 1990
273,1969,British Grand Prix,brabham-ford,8.0,1962 - 1990
278,1969,British Grand Prix,mclaren-ford,5.0,1962 - 1990
276,1969,British Grand Prix,lotus-ford,3.0,1962 - 1990
274,1969,British Grand Prix,brm,0.0,1962 - 1990
275,1969,British Grand Prix,ferrari,0.0,1962 - 1990
326,1970,Monaco Grand Prix,team_lotus,11.0,1962 - 1990
319,1970,Monaco Grand Prix,brabham,6.0,1962 - 1990
