,year,name,constructor_name,points,era
29,2003,Monaco Grand Prix,williams,15.0,2003 - 2009
24,2003,Monaco Grand Prix,mclaren,10.0,2003 - 2009
21,2003,Monaco Grand Prix,ferrari,7.0,2003 - 2009
26,2003,Monaco Grand Prix,renault,7.0,2003 - 2009
20,2003,Monaco Grand Prix,bar,0.0,2003 - 2009
22,2003,Monaco Grand Prix,jaguar,0.0,2003 - 2009
23,2003,Monaco Grand Prix,jordan,0.0,2003 - 2009
25,2003,Monaco Grand Prix,minardi,0.0,2003 - 2009
27,2003,Monaco Grand Prix,sauber,0.0,2003 - 2009
28,2003,Monaco Grand Prix,toyota,0.0,2003 - 2009
11,2003,Italian Grand Prix,ferrari,16.0,2003 - 2009
19,2003,Italian Grand Prix,williams,12.0,2003 - 2009
14,2003,Italian Grand Prix,mclaren,5.0,2003 - 2009
10,2003,Italian Grand Prix,bar,3.0,2003 - 2009
12,2003,Italian Grand Prix,jaguar,2.0,2003 - 2009
16,2003,Italian Grand Prix,renault,1.0,2003 - 2009
13,2003,Italian Grand Prix,jordan,0.0,2003 - 2009
15,2003,Italian Grand Prix,minardi,0.0,2003 - 2009
17,2003,Italian Grand Prix,sauber,0.0,2003 - 2009
18,2003,Italian Grand Prix,toyota,0.0,2003 - 2009
1,2003,British Grand Prix,ferrari,15.0,2003 - 2009
4,2003,British Grand Prix,mclaren,10.0,2003 - 2009
9,2003,British Grand Prix,williams,8.0,2003 - 2009
6,2003,British Grand Prix,renault,3.0,2003 - 2009
8,2003,British Grand Prix,toyota,2.0,2003 - 2009
0,2003,British Grand Prix,bar,1.0,2003 - 2009
2,2003,British Grand Prix,jaguar,0.0,2003 - 2009
3,2003,British Grand Prix,jordan,0.0,2003 - 2009
5,2003,British Grand Prix,minardi,0.0,2003 - 2009
7,2003,British Grand Prix,sauber,0.0,2003 - 2009
66,2004,Monaco Grand Prix,renault,10.0,2003 - 2009
60,2004,Monaco Grand Prix,bar,8.0,2003 - 2009
61,2004,Monaco Grand Prix,ferrari,6.0,2003 - 2009
69,2004,Monaco Grand Prix,williams,5.0,2003 - 2009
67,2004,Monaco Grand Prix,sauber,4.0,2003 - 2009
