,year,name,constructor_name,points,era
34,2019,Monaco Grand Prix,mercedes,40.0,2019 - 2022
36,2019,Monaco Grand Prix,red_bull,23.0,2019 - 2022
31,2019,Monaco Grand Prix,ferrari,18.0,2019 - 2022
38,2019,Monaco Grand Prix,toro_rosso,10.0,2019 - 2022
33,2019,Monaco Grand Prix,mclaren,8.0,2019 - 2022
37,2019,Monaco Grand Prix,renault,2.0,2019 - 2022
32,2019,Monaco Grand Prix,haas,1.0,2019 - 2022
30,2019,Monaco Grand Prix,alfa,0.0,2019 - 2022
35,2019,Monaco Grand Prix,racing_point,0.0,2019 - 2022
39,2019,Monaco Grand Prix,williams,0.0,2019 - 2022
24,2019,Italian Grand Prix,mercedes,34.0,2019 - 2022
21,2019,Italian Grand Prix,ferrari,25.0,2019 - 2022
27,2019,Italian Grand Prix,renault,22.0,2019 - 2022
26,2019,Italian Grand Prix,red_bull,12.0,2019 - 2022
25,2019,Italian Grand Prix,racing_point,6.0,2019 - 2022
20,2019,Italian Grand Prix,alfa,2.0,2019 - 2022
23,2019,Italian Grand Prix,mclaren,1.0,2019 - 2022
22,2019,Italian Grand Prix,haas,0.0,2019 - 2022
28,2019,Italian Grand Prix,toro_rosso,0.0,2019 - 2022
29,2019,Italian Grand Prix,williams,0.0,2019 - 2022
14,2019,British Grand Prix,mercedes,44.0,2019 - 2022
16,2019,British Grand Prix,red_bull,22.0,2019 - 2022
11,2019,British Grand Prix,ferrari,15.0,2019 - 2022
13,2019,British Grand Prix,mclaren,8.0,2019 - 2022
17,2019,British Grand Prix,renault,7.0,2019 - 2022
10,2019,British Grand Prix,alfa,4.0,2019 - 2022
18,2019,British Grand Prix,toro_rosso,2.0,2019 - 2022
12,2019,British Grand Prix,haas,0.0,2019 - 2022
15,2019,British Grand Prix,racing_point,0.0,2019 - 2022
19,2019,British Grand Prix,williams,0.0,2019 - 2022
1,2019,Belgian Grand Prix,ferrari,38.0,2019 - 2022
4,2019,Belgian Grand Prix,mercedes,33.0,2019 - 2022
6,2019,Belgian Grand Prix,red_bull,10.0,2019 - 2022
5,2019,Belgian Grand Prix,racing_point,9.0,2019 - 2022
8,2019,Belgian Grand Prix,toro_rosso,8.0,2019 - 2022
7,2019,Belgian Grand Prix,renault,4.0,2019 - 2022
0,2019,Belgian Grand Prix,alfa,0.0,2019 - 2022
2,2019,Belgian Grand Prix,haas,0.0,2019 - 2022
3,2019,Belgian Grand Prix,mclaren,0.0,2019 - 2022
