,year,constructor_name,points
65,2009,brawn,172.0
54,2008,ferrari,172.0
45,2007,mclaren,218.0
36,2006,renault,206.0
26,2005,renault,191.0
11,2004,ferrari,262.0
1,2003,ferrari,158.0
