year,name,driver_name,points,era
2019,Monaco Grand Prix,hamilton,25.0,2019 - 2022
2019,Monaco Grand Prix,vettel,18.0,2019 - 2022
2019,Monaco Grand Prix,bottas,15.0,2019 - 2022
2019,Monaco Grand Prix,max_verstappen,12.0,2019 - 2022
2019,Monaco Grand Prix,gasly,11.0,2019 - 2022
2019,Monaco Grand Prix,sainz,8.0,2019 - 2022
2019,Monaco Grand Prix,kvyat,6.0,2019 - 2022
2019,Monaco Grand Prix,albon,4.0,2019 - 2022
2019,Monaco Grand Prix,ricciardo,2.0,2019 - 2022
2019,Monaco Grand Prix,grosjean,1.0,2019 - 2022
2019,Monaco Grand Prix,giovinazzi,0.0,2019 - 2022
2019,Monaco Grand Prix,hulkenberg,0.0,2019 - 2022
2019,Monaco Grand Prix,kevin_magnussen,0.0,2019 - 2022
2019,Monaco Grand Prix,kubica,0.0,2019 - 2022
2019,Monaco Grand Prix,leclerc,0.0,2019 - 2022
2019,Monaco Grand Prix,norris,0.0,2019 - 2022
2019,Monaco Grand Prix,perez,0.0,2019 - 2022
2019,Monaco Grand Prix,raikkonen,0.0,2019 - 2022
2019,Monaco Grand Prix,russell,0.0,2019 - 2022
2019,Monaco Grand Prix,stroll,0.0,2019 - 2022
2019,Italian Grand Prix,leclerc,25.0,2019 - 2022
2019,Italian Grand Prix,bottas,18.0,2019 - 2022
2019,Italian Grand Prix,hamilton,16.0,2019 - 2022
2019,Italian Grand Prix,ricciardo,12.0,2019 - 2022
2019,Italian Grand Prix,hulkenberg,10.0,2019 - 2022
2019,Italian Grand Prix,albon,8.0,2019 - 2022
2019,Italian Grand Prix,perez,6.0,2019 - 2022
2019,Italian Grand Prix,max_verstappen,4.0,2019 - 2022
2019,Italian Grand Prix,giovinazzi,2.0,2019 - 2022
2019,Italian Grand Prix,norris,1.0,2019 - 2022
2019,Italian Grand Prix,gasly,0.0,2019 - 2022
2019,Italian Grand Prix,grosjean,0.0,2019 - 2022
2019,Italian Grand Prix,kevin_magnussen,0.0,2019 - 2022
2019,Italian Grand Prix,kubica,0.0,2019 - 2022
2019,Italian Grand Prix,kvyat,0.0,2019 - 2022
2019,Italian Grand Prix,raikkonen,0.0,2019 - 2022
2019,Italian Grand Prix,russell,0.0,2019 - 2022
2019,Italian Grand Prix,sainz,0.0,2019 - 2022
2019,Italian Grand Prix,stroll,0.0,2019 - 2022
2019,Italian Grand Prix,vettel,0.0,2019 - 2022
2019,British Grand Prix,hamilton,26.0,2019 - 2022
2019,British Grand Prix,bottas,18.0,2019 - 2022
2019,British Grand Prix,leclerc,15.0,2019 - 2022
2019,British Grand Prix,gasly,12.0,2019 - 2022
2019,British Grand Prix,max_verstappen,10.0,2019 - 2022
2019,British Grand Prix,sainz,8.0,2019 - 2022
2019,British Grand Prix,ricciardo,6.0,2019 - 2022
2019,British Grand Prix,raikkonen,4.0,2019 - 2022
2019,British Grand Prix,kvyat,2.0,2019 - 2022
2019,British Grand Prix,hulkenberg,1.0,2019 - 2022
2019,British Grand Prix,albon,0.0,2019 - 2022
2019,British Grand Prix,giovinazzi,0.0,2019 - 2022
2019,British Grand Prix,grosjean,0.0,2019 - 2022
2019,British Grand Prix,kevin_magnussen,0.0,2019 - 2022
2019,British Grand Prix,kubica,0.0,2019 - 2022
2019,British Grand Prix,norris,0.0,2019 - 2022
2019,British Grand Prix,perez,0.0,2019 - 2022
2019,British Grand Prix,russell,0.0,2019 - 2022
2019,British Grand Prix,stroll,0.0,2019 - 2022
2019,British Grand Prix,vettel,0.0,2019 - 2022
2019,Belgian Grand Prix,leclerc,25.0,2019 - 2022
2019,Belgian Grand Prix,hamilton,18.0,2019 - 2022
2019,Belgian Grand Prix,bottas,15.0,2019 - 2022
2019,Belgian Grand Prix,vettel,13.0,2019 - 2022
2019,Belgian Grand Prix,albon,10.0,2019 - 2022
