,year,driver_name,points
1031,1961,phil_hill,38.0
947,1960,jack_brabham,43.0
857,1959,jack_brabham,34.0
761,1958,hawthorn,49.0
664,1957,fangio,46.0
581,1956,fangio,34.5
496,1955,fangio,41.0
403,1954,fangio,57.14
274,1953,ascari,46.5
168,1952,ascari,53.5
102,1951,fangio,37.0
24,1950,farina,30.0
