year,name,driver_name,points
2010,Monaco Grand Prix,webber,25.0
2010,Monaco Grand Prix,vettel,18.0
2010,Monaco Grand Prix,kubica,15.0
2010,Monaco Grand Prix,massa,12.0
2010,Monaco Grand Prix,hamilton,10.0
2010,Monaco Grand Prix,alonso,8.0
2010,Monaco Grand Prix,rosberg,6.0
2010,Monaco Grand Prix,sutil,4.0
2010,Monaco Grand Prix,liuzzi,2.0
2010,Monaco Grand Prix,buemi,1.0
2010,Monaco Grand Prix,alguersuari,0.0
2010,Monaco Grand Prix,barrichello,0.0
2010,Monaco Grand Prix,bruno_senna,0.0
2010,Monaco Grand Prix,button,0.0
2010,Monaco Grand Prix,chandhok,0.0
2010,Monaco Grand Prix,glock,0.0
2010,Monaco Grand Prix,grassi,0.0
2010,Monaco Grand Prix,hulkenberg,0.0
2010,Monaco Grand Prix,kobayashi,0.0
2010,Monaco Grand Prix,kovalainen,0.0
2010,Monaco Grand Prix,michael_schumacher,0.0
2010,Monaco Grand Prix,petrov,0.0
2010,Monaco Grand Prix,rosa,0.0
2010,Monaco Grand Prix,trulli,0.0
2010,Italian Grand Prix,alonso,25.0
2010,Italian Grand Prix,button,18.0
2010,Italian Grand Prix,massa,15.0
2010,Italian Grand Prix,vettel,12.0
2010,Italian Grand Prix,rosberg,10.0
2010,Italian Grand Prix,webber,8.0
2010,Italian Grand Prix,hulkenberg,6.0
2010,Italian Grand Prix,kubica,4.0
2010,Italian Grand Prix,michael_schumacher,2.0
2010,Italian Grand Prix,barrichello,1.0
2010,Italian Grand Prix,alguersuari,0.0
2010,Italian Grand Prix,bruno_senna,0.0
2010,Italian Grand Prix,buemi,0.0
2010,Italian Grand Prix,glock,0.0
2010,Italian Grand Prix,grassi,0.0
2010,Italian Grand Prix,hamilton,0.0
2010,Italian Grand Prix,kobayashi,0.0
2010,Italian Grand Prix,kovalainen,0.0
2010,Italian Grand Prix,liuzzi,0.0
2010,Italian Grand Prix,petrov,0.0
2010,Italian Grand Prix,rosa,0.0
2010,Italian Grand Prix,sutil,0.0
2010,Italian Grand Prix,trulli,0.0
2010,Italian Grand Prix,yamamoto,0.0
2010,British Grand Prix,webber,25.0
2010,British Grand Prix,hamilton,18.0
2010,British Grand Prix,rosberg,15.0
2010,British Grand Prix,button,12.0
2010,British Grand Prix,barrichello,10.0
2010,British Grand Prix,kobayashi,8.0
2010,British Grand Prix,vettel,6.0
2010,British Grand Prix,sutil,4.0
