year,name,driver_name,points
1991,Monaco Grand Prix,senna,10.0
1991,Monaco Grand Prix,mansell,6.0
1991,Monaco Grand Prix,alesi,4.0
1991,Monaco Grand Prix,moreno,3.0
1991,Monaco Grand Prix,prost,2.0
1991,Monaco Grand Prix,pirro,1.0
1991,Monaco Grand Prix,alboreto,0.0
1991,Monaco Grand Prix,bailey,0.0
1991,Monaco Grand Prix,barbazza,0.0
1991,Monaco Grand Prix,berger,0.0
1991,Monaco Grand Prix,bernard,0.0
1991,Monaco Grand Prix,blundell,0.0
1991,Monaco Grand Prix,boutsen,0.0
1991,Monaco Grand Prix,brundle,0.0
1991,Monaco Grand Prix,caffi,0.0
1991,Monaco Grand Prix,capelli,0.0
1991,Monaco Grand Prix,cesaris,0.0
1991,Monaco Grand Prix,chaves,0.0
1991,Monaco Grand Prix,comas,0.0
1991,Monaco Grand Prix,gachot,0.0
1991,Monaco Grand Prix,grouillard,0.0
1991,Monaco Grand Prix,gugelmin,0.0
1991,Monaco Grand Prix,hakkinen,0.0
1991,Monaco Grand Prix,larini,0.0
1991,Monaco Grand Prix,lehto,0.0
1991,Monaco Grand Prix,martini,0.0
1991,Monaco Grand Prix,modena,0.0
1991,Monaco Grand Prix,morbidelli,0.0
1991,Monaco Grand Prix,patrese,0.0
1991,Monaco Grand Prix,piquet,0.0
1991,Monaco Grand Prix,poele,0.0
1991,Monaco Grand Prix,satoru_nakajima,0.0
1991,Monaco Grand Prix,suzuki,0.0
1991,Monaco Grand Prix,tarquini,0.0
1991,Italian Grand Prix,mansell,10.0
1991,Italian Grand Prix,senna,6.0
1991,Italian Grand Prix,prost,4.0
1991,Italian Grand Prix,berger,3.0
1991,Italian Grand Prix,michael_schumacher,2.0
1991,Italian Grand Prix,piquet,1.0
1991,Italian Grand Prix,alboreto,0.0
1991,Italian Grand Prix,alesi,0.0
1991,Italian Grand Prix,barbazza,0.0
1991,Italian Grand Prix,bartels,0.0
1991,Italian Grand Prix,bernard,0.0
1991,Italian Grand Prix,blundell,0.0
1991,Italian Grand Prix,boutsen,0.0
1991,Italian Grand Prix,brundle,0.0
1991,Italian Grand Prix,caffi,0.0
1991,Italian Grand Prix,capelli,0.0
1991,Italian Grand Prix,cesaris,0.0
1991,Italian Grand Prix,chaves,0.0
1991,Italian Grand Prix,comas,0.0
1991,Italian Grand Prix,grouillard,0.0
1991,Italian Grand Prix,gugelmin,0.0
1991,Italian Grand Prix,hakkinen,0.0
1991,Italian Grand Prix,larini,0.0
1991,Italian Grand Prix,lehto,0.0
1991,Italian Grand Prix,martini,0.0
1991,Italian Grand Prix,modena,0.0
1991,Italian Grand Prix,morbidelli,0.0
1991,Italian Grand Prix,moreno,0.0
1991,Italian Grand Prix,patrese,0.0
1991,Italian Grand Prix,pirro,0.0
1991,Italian Grand Prix,poele,0.0
1991,Italian Grand Prix,satoru_nakajima,0.0
1991,Italian Grand Prix,suzuki,0.0
1991,Italian Grand Prix,tarquini,0.0
1991,British Grand Prix,mansell,10.0
1991,British Grand Prix,berger,6.0
1991,British Grand Prix,prost,4.0
1991,British Grand Prix,senna,3.0
1991,British Grand Prix,piquet,2.0
1991,British Grand Prix,gachot,1.0
1991,British Grand Prix,alboreto,0.0
1991,British Grand Prix,alesi,0.0
1991,British Grand Prix,barbazza,0.0
1991,British Grand Prix,bernard,0.0
1991,British Grand Prix,blundell,0.0
1991,British Grand Prix,boutsen,0.0
1991,British Grand Prix,brundle,0.0
1991,British Grand Prix,capelli,0.0
1991,British Grand Prix,cesaris,0.0
1991,British Grand Prix,chaves,0.0
1991,British Grand Prix,comas,0.0
1991,British Grand Prix,grouillard,0.0
1991,British Grand Prix,gugelmin,0.0
1991,British Grand Prix,hakkinen,0.0
1991,British Grand Prix,herbert,0.0
1991,British Grand Prix,johansson,0.0
1991,British Grand Prix,larini,0.0
1991,British Grand Prix,lehto,0.0
1991,British Grand Prix,martini,0.0
1991,British Grand Prix,modena,0.0
1991,British Grand Prix,morbidelli,0.0
1991,British Grand Prix,moreno,0.0
1991,British Grand Prix,patrese,0.0
1991,British Grand Prix,pirro,0.0
1991,British Grand Prix,poele,0.0
1991,British Grand Prix,satoru_nakajima,0.0
1991,British Grand Prix,suzuki,0.0
1991,British Grand Prix,tarquini,0.0
1991,Belgian Grand Prix,senna,10.0
1991,Belgian Grand Prix,berger,6.0
1991,Belgian Grand Prix,piquet,4.0
1991,Belgian Grand Prix,moreno,3.0
1991,Belgian Grand Prix,patrese,2.0
1991,Belgian Grand Prix,blundell,1.0
1991,Belgian Grand Prix,alboreto,0.0
1991,Belgian Grand Prix,alesi,0.0
1991,Belgian Grand Prix,barbazza,0.0
1991,Belgian Grand Prix,bernard,0.0
1991,Belgian Grand Prix,boutsen,0.0
1991,Belgian Grand Prix,brundle,0.0
1991,Belgian Grand Prix,caffi,0.0
1991,Belgian Grand Prix,capelli,0.0
1991,Belgian Grand Prix,cesaris,0.0
1991,Belgian Grand Prix,chaves,0.0
1991,Belgian Grand Prix,comas,0.0
1991,Belgian Grand Prix,grouillard,0.0
1991,Belgian Grand Prix,gugelmin,0.0
1991,Belgian Grand Prix,hakkinen,0.0
1991,Belgian Grand Prix,herbert,0.0
1991,Belgian Grand Prix,larini,0.0
1991,Belgian Grand Prix,lehto,0.0
1991,Belgian Grand Prix,mansell,0.0
1991,Belgian Grand Prix,martini,0.0
1991,Belgian Grand Prix,michael_schumacher,0.0
1991,Belgian Grand Prix,modena,0.0
1991,Belgian Grand Prix,morbidelli,0.0
1991,Belgian Grand Prix,pirro,0.0
1991,Belgian Grand Prix,poele,0.0
1991,Belgian Grand Prix,prost,0.0
1991,Belgian Grand Prix,satoru_nakajima,0.0
1991,Belgian Grand Prix,suzuki,0.0
1991,Belgian Grand Prix,tarquini,0.0
1992,Monaco Grand Prix,senna,10.0
1992,Monaco Grand Prix,mansell,6.0
1992,Monaco Grand Prix,patrese,4.0
1992,Monaco Grand Prix,michael_schumacher,3.0
1992,Monaco Grand Prix,brundle,2.0
1992,Monaco Grand Prix,gachot,1.0
1992,Monaco Grand Prix,alboreto,0.0
1992,Monaco Grand Prix,alesi,0.0
1992,Monaco Grand Prix,belmondo,0.0
1992,Monaco Grand Prix,berger,0.0
1992,Monaco Grand Prix,boutsen,0.0
1992,Monaco Grand Prix,capelli,0.0
1992,Monaco Grand Prix,cesaris,0.0
1992,Monaco Grand Prix,chiesa,0.0
1992,Monaco Grand Prix,comas,0.0
1992,Monaco Grand Prix,damon_hill,0.0
