,year,constructor_name,points
144,2002,ferrari,221.0
134,2001,ferrari,179.0
123,2000,ferrari,170.0
112,1999,ferrari,128.0
102,1998,mclaren,156.0
97,1997,williams,123.0
85,1996,williams,175.0
62,1995,benetton,147.0
61,1994,williams,118.0
47,1993,williams,168.0
34,1992,williams,164.0
14,1991,mclaren,139.0
