,year,driver_name,points
157,2009,button,95.0
137,2008,hamilton,98.0
118,2007,raikkonen,110.0
77,2006,alonso,134.0
50,2005,alonso,133.0
37,2004,michael_schumacher,148.0
12,2003,michael_schumacher,93.0
