year,name,driver_name,points
1950,Monaco Grand Prix,fangio,9.0
1950,Monaco Grand Prix,ascari,6.0
1950,Monaco Grand Prix,chiron,4.0
1950,Monaco Grand Prix,sommer,3.0
1950,Monaco Grand Prix,bira,2.0
1950,Monaco Grand Prix,claes,0.0
1950,Monaco Grand Prix,etancelin,0.0
1950,Monaco Grand Prix,fagioli,0.0
1950,Monaco Grand Prix,farina,0.0
1950,Monaco Grand Prix,gerard,0.0
1950,Monaco Grand Prix,gonzalez,0.0
1950,Monaco Grand Prix,graffenried,0.0
1950,Monaco Grand Prix,harrison,0.0
1950,Monaco Grand Prix,manzon,0.0
1950,Monaco Grand Prix,pian,0.0
1950,Monaco Grand Prix,rol,0.0
1950,Monaco Grand Prix,rosier,0.0
1950,Monaco Grand Prix,schell,0.0
1950,Monaco Grand Prix,trintignant,0.0
1950,Monaco Grand Prix,villoresi,0.0
1950,Monaco Grand Prix,whitehead,0.0
1950,Italian Grand Prix,farina,8.0
1950,Italian Grand Prix,fagioli,4.0
1950,Italian Grand Prix,ascari,3.0
1950,Italian Grand Prix,rosier,3.0
1950,Italian Grand Prix,serafini,3.0
1950,Italian Grand Prix,etancelin,2.0
1950,Italian Grand Prix,fangio,1.0
1950,Italian Grand Prix,biondetti,0.0
1950,Italian Grand Prix,bira,0.0
1950,Italian Grand Prix,bonetto,0.0
1950,Italian Grand Prix,chiron,0.0
1950,Italian Grand Prix,claes,0.0
1950,Italian Grand Prix,comotti,0.0
1950,Italian Grand Prix,graffenried,0.0
1950,Italian Grand Prix,guy_mairesse,0.0
1950,Italian Grand Prix,harrison,0.0
1950,Italian Grand Prix,levegh,0.0
1950,Italian Grand Prix,louveau,0.0
1950,Italian Grand Prix,manzon,0.0
1950,Italian Grand Prix,murray,0.0
1950,Italian Grand Prix,pietsch,0.0
1950,Italian Grand Prix,rol,0.0
1950,Italian Grand Prix,sanesi,0.0
1950,Italian Grand Prix,sommer,0.0
1950,Italian Grand Prix,taruffi,0.0
1950,Italian Grand Prix,trintignant,0.0
1950,Italian Grand Prix,whitehead,0.0
1950,British Grand Prix,farina,9.0
1950,British Grand Prix,fagioli,6.0
1950,British Grand Prix,reg_parnell,4.0
1950,British Grand Prix,cabantous,3.0
1950,British Grand Prix,rosier,2.0
1950,British Grand Prix,bira,0.0
1950,British Grand Prix,chiron,0.0
1950,British Grand Prix,claes,0.0
1950,British Grand Prix,crossley,0.0
1950,British Grand Prix,etancelin,0.0
1950,British Grand Prix,fangio,0.0
1950,British Grand Prix,fry,0.0
1950,British Grand Prix,gerard,0.0
1950,British Grand Prix,graffenried,0.0
1950,British Grand Prix,hampshire,0.0
1950,British Grand Prix,harrison,0.0
1950,British Grand Prix,kelly,0.0
1950,British Grand Prix,leslie_johnson,0.0
1950,British Grand Prix,martin,0.0
1950,British Grand Prix,murray,0.0
1950,British Grand Prix,peter_walker,0.0
1950,British Grand Prix,rolt,0.0
1950,British Grand Prix,shawe_taylor,0.0
1950,Belgian Grand Prix,fangio,8.0
1950,Belgian Grand Prix,fagioli,6.0
1950,Belgian Grand Prix,farina,4.0
1950,Belgian Grand Prix,rosier,4.0
1950,Belgian Grand Prix,ascari,2.0
1950,Belgian Grand Prix,branca,0.0
1950,Belgian Grand Prix,cabantous,0.0
1950,Belgian Grand Prix,chaboud,0.0
1950,Belgian Grand Prix,claes,0.0
1950,Belgian Grand Prix,crossley,0.0
1950,Belgian Grand Prix,etancelin,0.0
1950,Belgian Grand Prix,levegh,0.0
1950,Belgian Grand Prix,sommer,0.0
1950,Belgian Grand Prix,villoresi,0.0
1951,Italian Grand Prix,ascari,8.0
1951,Italian Grand Prix,gonzalez,6.0
1951,Italian Grand Prix,farina,3.0
1951,Italian Grand Prix,villoresi,3.0
1951,Italian Grand Prix,bonetto,2.0
1951,Italian Grand Prix,taruffi,2.0
1951,Italian Grand Prix,cabantous,0.0
1951,Italian Grand Prix,chiron,0.0
1951,Italian Grand Prix,claes,0.0
1951,Italian Grand Prix,fangio,0.0
1951,Italian Grand Prix,graffenried,0.0
1951,Italian Grand Prix,landi,0.0
1951,Italian Grand Prix,levegh,0.0
1951,Italian Grand Prix,manzon,0.0
1951,Italian Grand Prix,reg_parnell,0.0
1951,Italian Grand Prix,richardson,0.0
1951,Italian Grand Prix,rol,0.0
1951,Italian Grand Prix,rosier,0.0
1951,Italian Grand Prix,simon,0.0
1951,Italian Grand Prix,swaters,0.0
1951,Italian Grand Prix,trintignant,0.0
1951,Italian Grand Prix,whitehead,0.0
1951,British Grand Prix,gonzalez,8.0
1951,British Grand Prix,fangio,6.0
1951,British Grand Prix,villoresi,4.0
1951,British Grand Prix,bonetto,3.0
1951,British Grand Prix,reg_parnell,2.0
1951,British Grand Prix,farina,1.0
1951,British Grand Prix,ascari,0.0
1951,British Grand Prix,chiron,0.0
1951,British Grand Prix,claes,0.0
1951,British Grand Prix,duncan_hamilton,0.0
1951,British Grand Prix,gerard,0.0
1951,British Grand Prix,john_james,0.0
1951,British Grand Prix,kelly,0.0
1951,British Grand Prix,murray,0.0
1951,British Grand Prix,parker,0.0
1951,British Grand Prix,peter_walker,0.0
1951,British Grand Prix,rosier,0.0
1951,British Grand Prix,sanesi,0.0
1951,British Grand Prix,shawe_taylor,0.0
1951,British Grand Prix,whitehead,0.0
1951,Belgian Grand Prix,farina,8.0
1951,Belgian Grand Prix,ascari,6.0
1951,Belgian Grand Prix,villoresi,4.0
1951,Belgian Grand Prix,rosier,3.0
1951,Belgian Grand Prix,cabantous,2.0
1951,Belgian Grand Prix,fangio,1.0
1951,Belgian Grand Prix,andre_pilette,0.0
1951,Belgian Grand Prix,chiron,0.0
1951,Belgian Grand Prix,claes,0.0
1951,Belgian Grand Prix,etancelin,0.0
1951,Belgian Grand Prix,levegh,0.0
1951,Belgian Grand Prix,sanesi,0.0
1951,Belgian Grand Prix,taruffi,0.0
1952,Italian Grand Prix,ascari,8.5
1952,Italian Grand Prix,gonzalez,6.5
1952,Italian Grand Prix,villoresi,4.0
1952,Italian Grand Prix,farina,3.0
1952,Italian Grand Prix,bonetto,2.0
1952,Italian Grand Prix,alan_brown,0.0
1952,Italian Grand Prix,aston,0.0
1952,Italian Grand Prix,bayol,0.0
1952,Italian Grand Prix,behra,0.0
1952,Italian Grand Prix,bianco,0.0
1952,Italian Grand Prix,brandon,0.0
1952,Italian Grand Prix,cantoni,0.0
1952,Italian Grand Prix,claes,0.0
1952,Italian Grand Prix,collins,0.0
1952,Italian Grand Prix,crespo,0.0
1952,Italian Grand Prix,dusio,0.0
1952,Italian Grand Prix,fischer,0.0
1952,Italian Grand Prix,gaze,0.0
1952,Italian Grand Prix,graffenried,0.0
1952,Italian Grand Prix,hans_stuck,0.0
1952,Italian Grand Prix,hawthorn,0.0
1952,Italian Grand Prix,landi,0.0
1952,Italian Grand Prix,macklin,0.0
1952,Italian Grand Prix,manzon,0.0
1952,Italian Grand Prix,mcalpine,0.0
1952,Italian Grand Prix,moss,0.0
1952,Italian Grand Prix,poore,0.0
1952,Italian Grand Prix,rol,0.0
1952,Italian Grand Prix,rosier,0.0
1952,Italian Grand Prix,simon,0.0
1952,Italian Grand Prix,taruffi,0.0
1952,Italian Grand Prix,tornaco,0.0
1952,Italian Grand Prix,trintignant,0.0
1952,Italian Grand Prix,wharton,0.0
1952,Italian Grand Prix,whitehead,0.0
1952,British Grand Prix,ascari,9.0
1952,British Grand Prix,taruffi,6.0
1952,British Grand Prix,hawthorn,4.0
1952,British Grand Prix,poore,3.0
1952,British Grand Prix,thompson,2.0
1952,British Grand Prix,alan_brown,0.0
1952,British Grand Prix,aston,0.0
1952,British Grand Prix,bianco,0.0
1952,British Grand Prix,bira,0.0
1952,British Grand Prix,brandon,0.0
1952,British Grand Prix,cantoni,0.0
1952,British Grand Prix,claes,0.0
1952,British Grand Prix,collins,0.0
1952,British Grand Prix,crook,0.0
1952,British Grand Prix,downing,0.0
1952,British Grand Prix,duncan_hamilton,0.0
1952,British Grand Prix,farina,0.0
1952,British Grand Prix,fischer,0.0
1952,British Grand Prix,gaze,0.0
1952,British Grand Prix,graffenried,0.0
1952,British Grand Prix,graham_whitehead,0.0
1952,British Grand Prix,hirt,0.0
1952,British Grand Prix,macklin,0.0
1952,British Grand Prix,manzon,0.0
1952,British Grand Prix,mcalpine,0.0
1952,British Grand Prix,moss,0.0
1952,British Grand Prix,murray,0.0
1952,British Grand Prix,reg_parnell,0.0
1952,British Grand Prix,salvadori,0.0
1952,British Grand Prix,schell,0.0
1952,British Grand Prix,trintignant,0.0
1952,British Grand Prix,whitehead,0.0
1952,Belgian Grand Prix,ascari,9.0
1952,Belgian Grand Prix,farina,6.0
1952,Belgian Grand Prix,manzon,4.0
1952,Belgian Grand Prix,hawthorn,3.0
1952,Belgian Grand Prix,frere,2.0
1952,Belgian Grand Prix,alan_brown,0.0
1952,Belgian Grand Prix,behra,0.0
1952,Belgian Grand Prix,bira,0.0
1952,Belgian Grand Prix,brandon,0.0
1952,Belgian Grand Prix,charrington,0.0
1952,Belgian Grand Prix,claes,0.0
1952,Belgian Grand Prix,collins,0.0
