,year,name,constructor_name,points,era
17,1950,Monaco Grand Prix,alfa,9.0,1950 - 1961
20,1950,Monaco Grand Prix,ferrari,9.0,1950 - 1961
22,1950,Monaco Grand Prix,maserati,6.0,1950 - 1961
18,1950,Monaco Grand Prix,cooper,0.0,1950 - 1961
19,1950,Monaco Grand Prix,era,0.0,1950 - 1961
21,1950,Monaco Grand Prix,lago,0.0,1950 - 1961
23,1950,Monaco Grand Prix,simca,0.0,1950 - 1961
10,1950,Italian Grand Prix,alfa,13.0,1950 - 1961
12,1950,Italian Grand Prix,ferrari,6.0,1950 - 1961
13,1950,Italian Grand Prix,lago,5.0,1950 - 1961
11,1950,Italian Grand Prix,era,0.0,1950 - 1961
14,1950,Italian Grand Prix,maserati,0.0,1950 - 1961
15,1950,Italian Grand Prix,milano,0.0,1950 - 1961
16,1950,Italian Grand Prix,simca,0.0,1950 - 1961
5,1950,British Grand Prix,alfa,19.0,1950 - 1961
8,1950,British Grand Prix,lago,5.0,1950 - 1961
6,1950,British Grand Prix,alta,0.0,1950 - 1961
7,1950,British Grand Prix,era,0.0,1950 - 1961
9,1950,British Grand Prix,maserati,0.0,1950 - 1961
0,1950,Belgian Grand Prix,alfa,18.0,1950 - 1961
3,1950,Belgian Grand Prix,lago,4.0,1950 - 1961
2,1950,Belgian Grand Prix,ferrari,2.0,1950 - 1961
1,1950,Belgian Grand Prix,alta,0.0,1950 - 1961
4,1950,Belgian Grand Prix,maserati,0.0,1950 - 1961
36,1951,Italian Grand Prix,ferrari,19.0,1950 - 1961
34,1951,Italian Grand Prix,alfa,5.0,1950 - 1961
35,1951,Italian Grand Prix,brm,0.0,1950 - 1961
37,1951,Italian Grand Prix,lago,0.0,1950 - 1961
38,1951,Italian Grand Prix,osca,0.0,1950 - 1961
39,1951,Italian Grand Prix,simca,0.0,1950 - 1961
31,1951,British Grand Prix,ferrari,12.0,1950 - 1961
27,1951,British Grand Prix,alfa,10.0,1950 - 1961
29,1951,British Grand Prix,brm,2.0,1950 - 1961
28,1951,British Grand Prix,alta,0.0,1950 - 1961
30,1951,British Grand Prix,era,0.0,1950 - 1961
32,1951,British Grand Prix,lago,0.0,1950 - 1961
33,1951,British Grand Prix,maserati,0.0,1950 - 1961
25,1951,Belgian Grand Prix,ferrari,10.0,1950 - 1961
24,1951,Belgian Grand Prix,alfa,9.0,1950 - 1961
26,1951,Belgian Grand Prix,lago,5.0,1950 - 1961
64,1952,Italian Grand Prix,ferrari,15.5,1950 - 1961
67,1952,Italian Grand Prix,maserati,8.5,1950 - 1961
60,1952,Italian Grand Prix,butterworth,0.0,1950 - 1961
61,1952,Italian Grand Prix,cisitalia,0.0,1950 - 1961
62,1952,Italian Grand Prix,connaught,0.0,1950 - 1961
63,1952,Italian Grand Prix,cooper,0.0,1950 - 1961
65,1952,Italian Grand Prix,gordini,0.0,1950 - 1961
66,1952,Italian Grand Prix,hwm,0.0,1950 - 1961
68,1952,Italian Grand Prix,osca,0.0,1950 - 1961
69,1952,Italian Grand Prix,simca,0.0,1950 - 1961
54,1952,British Grand Prix,ferrari,15.0,1950 - 1961
51,1952,British Grand Prix,connaught,5.0,1950 - 1961
52,1952,British Grand Prix,cooper,4.0,1950 - 1961
49,1952,British Grand Prix,alta,0.0,1950 - 1961
50,1952,British Grand Prix,butterworth,0.0,1950 - 1961
53,1952,British Grand Prix,era,0.0,1950 - 1961
55,1952,British Grand Prix,frazer_nash,0.0,1950 - 1961
56,1952,British Grand Prix,gordini,0.0,1950 - 1961
57,1952,British Grand Prix,hwm,0.0,1950 - 1961
58,1952,British Grand Prix,maserati,0.0,1950 - 1961
59,1952,British Grand Prix,simca,0.0,1950 - 1961
43,1952,Belgian Grand Prix,ferrari,15.0,1950 - 1961
45,1952,Belgian Grand Prix,gordini,4.0,1950 - 1961
41,1952,Belgian Grand Prix,cooper,3.0,1950 - 1961
46,1952,Belgian Grand Prix,hwm,2.0,1950 - 1961
40,1952,Belgian Grand Prix,butterworth,0.0,1950 - 1961
42,1952,Belgian Grand Prix,era,0.0,1950 - 1961
44,1952,Belgian Grand Prix,frazer_nash,0.0,1950 - 1961
47,1952,Belgian Grand Prix,simca,0.0,1950 - 1961
48,1952,Belgian Grand Prix,veritas,0.0,1950 - 1961
86,1953,Italian Grand Prix,ferrari,13.0,1950 - 1961
89,1953,Italian Grand Prix,maserati,9.0,1950 - 1961
87,1953,Italian Grand Prix,gordini,2.0,1950 - 1961
83,1953,Italian Grand Prix,afm,0.0,1950 - 1961
84,1953,Italian Grand Prix,connaught,0.0,1950 - 1961
85,1953,Italian Grand Prix,cooper,0.0,1950 - 1961
88,1953,Italian Grand Prix,hwm,0.0,1950 - 1961
90,1953,Italian Grand Prix,osca,0.0,1950 - 1961
79,1953,British Grand Prix,ferrari,14.5,1950 - 1961
82,1953,British Grand Prix,maserati,9.5,1950 - 1961
77,1953,British Grand Prix,connaught,0.0,1950 - 1961
78,1953,British Grand Prix,cooper,0.0,1950 - 1961
80,1953,British Grand Prix,gordini,0.0,1950 - 1961
81,1953,British Grand Prix,hwm,0.0,1950 - 1961
71,1953,Belgian Grand Prix,ferrari,14.0,1950 - 1961
74,1953,Belgian Grand Prix,maserati,8.0,1950 - 1961
72,1953,Belgian Grand Prix,gordini,2.0,1950 - 1961
70,1953,Belgian Grand Prix,connaught,0.0,1950 - 1961
73,1953,Belgian Grand Prix,hwm,0.0,1950 - 1961
75,1953,Belgian Grand Prix,simca,0.0,1950 - 1961
76,1953,Belgian Grand Prix,veritas,0.0,1950 - 1961
101,1954,Italian Grand Prix,ferrari,13.0,1950 - 1961
104,1954,Italian Grand Prix,mercedes,11.0,1950 - 1961
102,1954,Italian Grand Prix,gordini,0.0,1950 - 1961
103,1954,Italian Grand Prix,maserati,0.0,1950 - 1961
105,1954,Italian Grand Prix,vanwall,0.0,1950 - 1961
96,1954,British Grand Prix,ferrari,16.28,1950 - 1961
98,1954,British Grand Prix,maserati,4.14,1950 - 1961
99,1954,British Grand Prix,mercedes,3.14,1950 - 1961
94,1954,British Grand Prix,connaught,0.0,1950 - 1961
95,1954,British Grand Prix,cooper,0.0,1950 - 1961
97,1954,British Grand Prix,gordini,0.0,1950 - 1961
100,1954,British Grand Prix,vanwall,0.0,1950 - 1961
93,1954,Belgian Grand Prix,maserati,13.0,1950 - 1961
91,1954,Belgian Grand Prix,ferrari,9.0,1950 - 1961
92,1954,Belgian Grand Prix,gordini,2.0,1950 - 1961
124,1955,Monaco Grand Prix,ferrari,11.0,1950 - 1961
127,1955,Monaco Grand Prix,lancia,8.0,1950 - 1961
128,1955,Monaco Grand Prix,maserati,4.0,1950 - 1961
129,1955,Monaco Grand Prix,mercedes,1.0,1950 - 1961
125,1955,Monaco Grand Prix,gordini,0.0,1950 - 1961
126,1955,Monaco Grand Prix,hwm,0.0,1950 - 1961
130,1955,Monaco Grand Prix,vanwall,0.0,1950 - 1961
122,1955,Italian Grand Prix,mercedes,15.0,1950 - 1961
121,1955,Italian Grand Prix,maserati,5.0,1950 - 1961
119,1955,Italian Grand Prix,ferrari,4.0,1950 - 1961
118,1955,Italian Grand Prix,arzani-volpini,0.0,1950 - 1961
120,1955,Italian Grand Prix,gordini,0.0,1950 - 1961
123,1955,Italian Grand Prix,vanwall,0.0,1950 - 1961
116,1955,British Grand Prix,mercedes,22.0,1950 - 1961
115,1955,British Grand Prix,maserati,2.0,1950 - 1961
111,1955,British Grand Prix,connaught,0.0,1950 - 1961
112,1955,British Grand Prix,cooper,0.0,1950 - 1961
113,1955,British Grand Prix,ferrari,0.0,1950 - 1961
114,1955,British Grand Prix,gordini,0.0,1950 - 1961
117,1955,British Grand Prix,vanwall,0.0,1950 - 1961
109,1955,Belgian Grand Prix,mercedes,15.0,1950 - 1961
106,1955,Belgian Grand Prix,ferrari,7.0,1950 - 1961
108,1955,Belgian Grand Prix,maserati,2.0,1950 - 1961
107,1955,Belgian Grand Prix,lancia,0.0,1950 - 1961
110,1955,Belgian Grand Prix,vanwall,0.0,1950 - 1961
151,1956,Monaco Grand Prix,maserati,12.0,1950 - 1961
149,1956,Monaco Grand Prix,ferrari,10.0,1950 - 1961
150,1956,Monaco Grand Prix,gordini,2.0,1950 - 1961
148,1956,Monaco Grand Prix,brm,0.0,1950 - 1961
152,1956,Monaco Grand Prix,vanwall,0.0,1950 - 1961
146,1956,Italian Grand Prix,maserati,12.0,1950 - 1961
143,1956,Italian Grand Prix,connaught,6.0,1950 - 1961
144,1956,Italian Grand Prix,ferrari,6.0,1950 - 1961
145,1956,Italian Grand Prix,gordini,0.0,1950 - 1961
147,1956,Italian Grand Prix,vanwall,0.0,1950 - 1961
139,1956,British Grand Prix,ferrari,14.0,1950 - 1961
141,1956,British Grand Prix,maserati,7.0,1950 - 1961
136,1956,British Grand Prix,connaught,3.0,1950 - 1961
135,1956,British Grand Prix,brm,0.0,1950 - 1961
137,1956,British Grand Prix,cooper,0.0,1950 - 1961
138,1956,British Grand Prix,emeryson,0.0,1950 - 1961
140,1956,British Grand Prix,gordini,0.0,1950 - 1961
142,1956,British Grand Prix,vanwall,0.0,1950 - 1961
132,1956,Belgian Grand Prix,ferrari,14.0,1950 - 1961
133,1956,Belgian Grand Prix,maserati,7.0,1950 - 1961
134,1956,Belgian Grand Prix,vanwall,3.0,1950 - 1961
131,1956,Belgian Grand Prix,connaught,0.0,1950 - 1961
165,1957,Monaco Grand Prix,maserati,13.0,1950 - 1961
166,1957,Monaco Grand Prix,vanwall,6.0,1950 - 1961
162,1957,Monaco Grand Prix,connaught,3.0,1950 - 1961
164,1957,Monaco Grand Prix,ferrari,2.0,1950 - 1961
161,1957,Monaco Grand Prix,brm,0.0,1950 - 1961
163,1957,Monaco Grand Prix,cooper,0.0,1950 - 1961
159,1957,Italian Grand Prix,maserati,11.0,1950 - 1961
160,1957,Italian Grand Prix,vanwall,9.0,1950 - 1961
158,1957,Italian Grand Prix,ferrari,4.0,1950 - 1961
155,1957,British Grand Prix,ferrari,13.0,1950 - 1961
157,1957,British Grand Prix,vanwall,9.0,1950 - 1961
154,1957,British Grand Prix,cooper,2.0,1950 - 1961
153,1957,British Grand Prix,brm,0.0,1950 - 1961
156,1957,British Grand Prix,maserati,0.0,1950 - 1961
188,1958,Monaco Grand Prix,cooper,11.0,1950 - 1961
189,1958,Monaco Grand Prix,ferrari,11.0,1950 - 1961
186,1958,Monaco Grand Prix,brm,2.0,1950 - 1961
187,1958,Monaco Grand Prix,connaught,0.0,1950 - 1961
190,1958,Monaco Grand Prix,maserati,0.0,1950 - 1961
191,1958,Monaco Grand Prix,osca,0.0,1950 - 1961
192,1958,Monaco Grand Prix,team_lotus,0.0,1950 - 1961
193,1958,Monaco Grand Prix,vanwall,0.0,1950 - 1961
182,1958,Italian Grand Prix,ferrari,11.0,1950 - 1961
185,1958,Italian Grand Prix,vanwall,8.0,1950 - 1961
181,1958,Italian Grand Prix,cooper,2.0,1950 - 1961
180,1958,Italian Grand Prix,brm,0.0,1950 - 1961
183,1958,Italian Grand Prix,maserati,0.0,1950 - 1961
184,1958,Italian Grand Prix,team_lotus,0.0,1950 - 1961
176,1958,British Grand Prix,ferrari,15.0,1950 - 1961
175,1958,British Grand Prix,cooper,4.0,1950 - 1961
179,1958,British Grand Prix,vanwall,3.0,1950 - 1961
173,1958,British Grand Prix,brm,2.0,1950 - 1961
174,1958,British Grand Prix,connaught,0.0,1950 - 1961
177,1958,British Grand Prix,maserati,0.0,1950 - 1961
178,1958,British Grand Prix,team_lotus,0.0,1950 - 1961
172,1958,Belgian Grand Prix,vanwall,12.0,1950 - 1961
169,1958,Belgian Grand Prix,ferrari,7.0,1950 - 1961
171,1958,Belgian Grand Prix,team_lotus,3.0,1950 - 1961
167,1958,Belgian Grand Prix,brm,2.0,1950 - 1961
168,1958,Belgian Grand Prix,cooper,0.0,1950 - 1961
170,1958,Belgian Grand Prix,maserati,0.0,1950 - 1961
212,1959,Monaco Grand Prix,cooper-climax,15.0,1950 - 1961
214,1959,Monaco Grand Prix,ferrari,9.0,1950 - 1961
211,1959,Monaco Grand Prix,brm,0.0,1950 - 1961
213,1959,Monaco Grand Prix,cooper-maserati,0.0,1950 - 1961
215,1959,Monaco Grand Prix,maserati,0.0,1950 - 1961
216,1959,Monaco Grand Prix,porsche,0.0,1950 - 1961
217,1959,Monaco Grand Prix,team_lotus,0.0,1950 - 1961
206,1959,Italian Grand Prix,cooper-climax,12.0,1950 - 1961
208,1959,Italian Grand Prix,ferrari,12.0,1950 - 1961
204,1959,Italian Grand Prix,aston_martin,0.0,1950 - 1961
205,1959,Italian Grand Prix,brm,0.0,1950 - 1961
207,1959,Italian Grand Prix,cooper-maserati,0.0,1950 - 1961
209,1959,Italian Grand Prix,maserati,0.0,1950 - 1961
210,1959,Italian Grand Prix,team_lotus,0.0,1950 - 1961
197,1959,British Grand Prix,cooper-climax,14.5,1950 - 1961
195,1959,British Grand Prix,brm,9.5,1950 - 1961
194,1959,British Grand Prix,aston_martin,0.0,1950 - 1961
196,1959,British Grand Prix,cooper-borgward,0.0,1950 - 1961
198,1959,British Grand Prix,cooper-maserati,0.0,1950 - 1961
199,1959,British Grand Prix,fry,0.0,1950 - 1961
200,1959,British Grand Prix,jbw,0.0,1950 - 1961
201,1959,British Grand Prix,maserati,0.0,1950 - 1961
202,1959,British Grand Prix,team_lotus,0.0,1950 - 1961
203,1959,British Grand Prix,vanwall,0.0,1950 - 1961
241,1960,Monaco Grand Prix,cooper-climax,9.0,1950 - 1961
246,1960,Monaco Grand Prix,team_lotus,8.0,1950 - 1961
243,1960,Monaco Grand Prix,ferrari,5.0,1950 - 1961
239,1960,Monaco Grand Prix,brm,2.0,1950 - 1961
240,1960,Monaco Grand Prix,cooper-castellotti,0.0,1950 - 1961
242,1960,Monaco Grand Prix,cooper-maserati,0.0,1950 - 1961
244,1960,Monaco Grand Prix,jbw,0.0,1950 - 1961
245,1960,Monaco Grand Prix,scarab,0.0,1950 - 1961
235,1960,Italian Grand Prix,ferrari,20.0,1950 - 1961
232,1960,Italian Grand Prix,cooper-castellotti,3.0,1950 - 1961
238,1960,Italian Grand Prix,porsche,1.0,1950 - 1961
231,1960,Italian Grand Prix,behra-porsche,0.0,1950 - 1961
233,1960,Italian Grand Prix,cooper-climax,0.0,1950 - 1961
234,1960,Italian Grand Prix,cooper-maserati,0.0,1950 - 1961
236,1960,Italian Grand Prix,jbw,0.0,1950 - 1961
237,1960,Italian Grand Prix,maserati,0.0,1950 - 1961
226,1960,British Grand Prix,cooper-climax,13.0,1950 - 1961
230,1960,British Grand Prix,team_lotus,10.0,1950 - 1961
228,1960,British Grand Prix,ferrari,1.0,1950 - 1961
223,1960,British Grand Prix,aston_martin,0.0,1950 - 1961
224,1960,British Grand Prix,brm,0.0,1950 - 1961
225,1960,British Grand Prix,cooper-castellotti,0.0,1950 - 1961
227,1960,British Grand Prix,cooper-maserati,0.0,1950 - 1961
229,1960,British Grand Prix,jbw,0.0,1950 - 1961
219,1960,Belgian Grand Prix,cooper-climax,19.0,1950 - 1961
220,1960,Belgian Grand Prix,ferrari,3.0,1950 - 1961
222,1960,Belgian Grand Prix,team_lotus,2.0,1950 - 1961
218,1960,Belgian Grand Prix,brm,0.0,1950 - 1961
221,1960,Belgian Grand Prix,scarab,0.0,1950 - 1961
277,1961,Monaco Grand Prix,ferrari,13.0,1950 - 1961
278,1961,Monaco Grand Prix,lotus-climax,9.0,1950 - 1961
279,1961,Monaco Grand Prix,porsche,2.0,1950 - 1961
274,1961,Monaco Grand Prix,cooper-climax,1.0,1950 - 1961
273,1961,Monaco Grand Prix,brm,0.0,1950 - 1961
275,1961,Monaco Grand Prix,cooper-maserati,0.0,1950 - 1961
276,1961,Monaco Grand Prix,emeryson,0.0,1950 - 1961
268,1961,Italian Grand Prix,ferrari,9.0,1950 - 1961
263,1961,Italian Grand Prix,cooper-climax,8.0,1950 - 1961
272,1961,Italian Grand Prix,porsche,6.0,1950 - 1961
262,1961,Italian Grand Prix,brm,2.0,1950 - 1961
264,1961,Italian Grand Prix,cooper-maserati,0.0,1950 - 1961
265,1961,Italian Grand Prix,de_tomaso-alfa_romeo,0.0,1950 - 1961
266,1961,Italian Grand Prix,de_tomaso-osca,0.0,1950 - 1961
267,1961,Italian Grand Prix,emeryson,0.0,1950 - 1961
269,1961,Italian Grand Prix,jbw,0.0,1950 - 1961
270,1961,Italian Grand Prix,lotus-climax,0.0,1950 - 1961
271,1961,Italian Grand Prix,lotus-maserati,0.0,1950 - 1961
258,1961,British Grand Prix,ferrari,19.0,1950 - 1961
254,1961,British Grand Prix,cooper-climax,4.0,1950 - 1961
261,1961,British Grand Prix,porsche,2.0,1950 - 1961
253,1961,British Grand Prix,brm,0.0,1950 - 1961
255,1961,British Grand Prix,cooper-maserati,0.0,1950 - 1961
256,1961,British Grand Prix,emeryson,0.0,1950 - 1961
257,1961,British Grand Prix,ferguson,0.0,1950 - 1961
259,1961,British Grand Prix,gilby,0.0,1950 - 1961
260,1961,British Grand Prix,lotus-climax,0.0,1950 - 1961
250,1961,Belgian Grand Prix,ferrari,22.0,1950 - 1961
248,1961,Belgian Grand Prix,cooper-climax,2.0,1950 - 1961
252,1961,Belgian Grand Prix,porsche,1.0,1950 - 1961
247,1961,Belgian Grand Prix,brm,0.0,1950 - 1961
249,1961,Belgian Grand Prix,cooper-maserati,0.0,1950 - 1961
251,1961,Belgian Grand Prix,lotus-climax,0.0,1950 - 1961
